fylkesnavn,fylkesnummer,kommunenummer,resultatområde,kommunenavn,kommunenummer 2023
Østfold,31,3101,Øst-Viken,Halden,3001
Østfold,31,3103,Øst-Viken,Moss,3002
Østfold,31,3105,Øst-Viken,Sarpsborg,3003
Østfold,31,3107,Øst-Viken,Fredrikstad,3004
Østfold,31,3110,Øst-Viken,Hvaler,3011
Østfold,31,3112,Øst-Viken,Råde,3017
Østfold,31,3114,Øst-Viken,Våler,3018
Østfold,31,3116,Øst-Viken,Skiptvet,3015
Østfold,31,3118,Øst-Viken,Indre Østfold,3014
Østfold,31,3120,Øst-Viken,Rakkestad,3016
Østfold,31,3122,Øst-Viken,Marker,3013
Østfold,31,3124,Øst-Viken,Aremark,3012
Vestland,46,4601,Vestland,Bergen,4601
Vestland,46,4602,Vestland,Kinn,4602
Vestland,46,4611,Vestland,Etne,4611
Vestland,46,4612,Vestland,Sveio,4612
Vestland,46,4613,Vestland,Bømlo,4613
Vestland,46,4614,Vestland,Stord,4614
Vestland,46,4615,Vestland,Fitjar,4615
Vestland,46,4616,Vestland,Tysnes,4616
Vestland,46,4617,Vestland,Kvinnherad,4617
Vestland,46,4618,Vestland,Ullensvang,4618
Vestland,46,4619,Vestland,Eidfjord,4619
Vestland,46,4620,Vestland,Ulvik,4620
Vestland,46,4621,Vestland,Voss,4621
Vestland,46,4622,Vestland,Kvam,4622
Vestland,46,4623,Vestland,Samnanger,4623
Vestland,46,4624,Vestland,Bjørnafjorden,4624
Vestland,46,4625,Vestland,Austevoll,4625
Vestland,46,4626,Vestland,Øygarden,4626
Vestland,46,4627,Vestland,Askøy,4627
Vestland,46,4628,Vestland,Vaksdal,4628
Vestland,46,4629,Vestland,Modalen,4629
Vestland,46,4630,Vestland,Osterøy,4630
Vestland,46,4631,Vestland,Alver,4631
Vestland,46,4632,Vestland,Austrheim,4632
Vestland,46,4633,Vestland,Fedje,4633
Vestland,46,4634,Vestland,Masfjorden,4634
Vestland,46,4635,Vestland,Gulen,4635
Vestland,46,4636,Vestland,Solund,4636
Vestland,46,4637,Vestland,Hyllestad,4637
Vestland,46,4638,Vestland,Høyanger,4638
Vestland,46,4639,Vestland,Vik,4639
Vestland,46,4640,Vestland,Sogndal,4640
Vestland,46,4641,Vestland,Aurland,4641
Vestland,46,4642,Vestland,Lærdal,4642
Vestland,46,4643,Vestland,Årdal,4643
Vestland,46,4644,Vestland,Luster,4644
Vestland,46,4645,Vestland,Askvoll,4645
Vestland,46,4646,Vestland,Fjaler,4646
Vestland,46,4647,Vestland,Sunnfjord,4647
Vestland,46,4648,Vestland,Bremanger,4648
Vestland,46,4649,Vestland,Stad,4649
Vestland,46,4650,Vestland,Gloppen,4650
Vestland,46,4651,Vestland,Stryn,4651
Vestfold,39,3901,Vestfold og Telemark,Horten,3801
Vestfold,39,3903,Vestfold og Telemark,Holmestrand,3802
Vestfold,39,3905,Vestfold og Telemark,Tønsberg,3803
Vestfold,39,3907,Vestfold og Telemark,Sandefjord,3804
Vestfold,39,3909,Vestfold og Telemark,Larvik,3805
Vestfold,39,3911,Vestfold og Telemark,Færder,3811
Trøndelag,50,5001,Trøndelag,Trondheim,5001
Trøndelag,50,5006,Trøndelag,Steinkjer,5006
Trøndelag,50,5007,Trøndelag,Namsos,5007
Trøndelag,50,5014,Trøndelag,Frøya,5014
Trøndelag,50,5020,Trøndelag,Osen,5020
Trøndelag,50,5021,Trøndelag,Oppdal,5021
Trøndelag,50,5022,Trøndelag,Rennebu,5022
Trøndelag,50,5025,Trøndelag,Røros,5025
Trøndelag,50,5026,Trøndelag,Holtålen,5026
Trøndelag,50,5027,Trøndelag,Midtre Gauldal,5027
Trøndelag,50,5028,Trøndelag,Melhus,5028
Trøndelag,50,5029,Trøndelag,Skaun,5029
Trøndelag,50,5031,Trøndelag,Malvik,5031
Trøndelag,50,5032,Trøndelag,Selbu,5032
Trøndelag,50,5033,Trøndelag,Tydal,5033
Trøndelag,50,5034,Trøndelag,Meråker,5034
Trøndelag,50,5035,Trøndelag,Stjørdal,5035
Trøndelag,50,5036,Trøndelag,Frosta,5036
Trøndelag,50,5037,Trøndelag,Levanger,5037
Trøndelag,50,5038,Trøndelag,Verdal,5038
Trøndelag,50,5041,Trøndelag,Snåsa,5041
Trøndelag,50,5042,Trøndelag,Lierne,5042
Trøndelag,50,5043,Trøndelag,Røyrvik,5043
Trøndelag,50,5044,Trøndelag,Namsskogan,5044
Trøndelag,50,5045,Trøndelag,Grong,5045
Trøndelag,50,5046,Trøndelag,Høylandet,5046
Trøndelag,50,5047,Trøndelag,Overhalla,5047
Trøndelag,50,5049,Trøndelag,Flatanger,5049
Trøndelag,50,5052,Trøndelag,Leka,5052
Trøndelag,50,5053,Trøndelag,Inderøy,5053
Trøndelag,50,5054,Trøndelag,Indre Fosen,5054
Trøndelag,50,5055,Trøndelag,Heim,5055
Trøndelag,50,5056,Trøndelag,Hitra,5056
Trøndelag,50,5057,Trøndelag,Ørland,5057
Trøndelag,50,5058,Trøndelag,Åfjord,5058
Trøndelag,50,5059,Trøndelag,Orkland,5059
Trøndelag,50,5060,Trøndelag,Nærøysund,5060
Trøndelag,50,5061,Trøndelag,Rindal,5061
Troms,55,5501,Troms og Finnmark,Tromsø,5401
Troms,55,5503,Troms og Finnmark,Harstad,5402
Troms,55,5510,Troms og Finnmark,Kvæfjord,5411
Troms,55,5512,Troms og Finnmark,Tjeldsund,5412
Troms,55,5514,Troms og Finnmark,Ibestad,5413
Troms,55,5516,Troms og Finnmark,Gratangen,5414
Troms,55,5518,Troms og Finnmark,Lavangen,5415
Troms,55,5520,Troms og Finnmark,Bardu,5416
Troms,55,5522,Troms og Finnmark,Salangen,5417
Troms,55,5524,Troms og Finnmark,Målselv,5418
Troms,55,5526,Troms og Finnmark,Sørreisa,5419
Troms,55,5528,Troms og Finnmark,Dyrøy,5420
Troms,55,5530,Troms og Finnmark,Senja,5421
Troms,55,5532,Troms og Finnmark,Balsfjord,5422
Troms,55,5534,Troms og Finnmark,Karlsøy,5423
Troms,55,5536,Troms og Finnmark,Lyngen,5424
Troms,55,5538,Troms og Finnmark,Storfjord,5425
